fips,state,county,seat,lat,lon,int_lat,int_lon,point_source,capitol_drive_s,capitol_road_m,capitol_snap_m,center_drive_s,center_road_m,center_snap_m
26127,MI,Oceana County,Hart,43.698333333333,-86.363888888889,43.603954,-86.467177,seat,48861.6,1171621.1,5.488204742,59493.3,1432092.9,5.488204742
26129,MI,Ogemaw County,West Branch,44.275555555556,-84.235277777778,44.33328,-84.128073,seat,44957.0,1078057.4,33.61045218,67072.0,1617205.0,33.61045218
26131,MI,Ontonagon County,Ontonagon,46.871111111111,-89.314166666667,46.835325,-89.276912,seat,73592.3,1739356.5,2.923070967,62620.3,1399602.6,2.923070967
26133,MI,Osceola County,Reed City,43.875,-85.51,43.997552,-85.322283,seat,47812.3,1137844.4,3.618553913,60400.6,1472653.9,3.618553913
26135,MI,Oscoda County,Mio,44.652222222222,-84.129722222222,44.687257,-84.126905,seat,47183.5,1116756.4,7.112027304,68350.2,1655687.5,7.112027304
26137,MI,Otsego County,Gaylord,45.0275,-84.674722222222,45.021787,-84.576603,seat,48930.9,1186634.5,12.66907832,67799.5,1649924.5,12.66907832
26139,MI,Ottawa County,Grand Haven,43.063055555556,-86.228333333333,43.054969,-86.219349,seat,46558.1,1103323.9,11.3122818,56273.6,1353421.3,11.3122818
26141,MI,Presque Isle County,Rogers City,45.421388888889,-83.818333333333,45.252397,-83.432283,seat,52465.5,1239169.4,0.6796510425,72668.5,1762213.5,0.6796510425
26143,MI,Roscommon County,Roscommon,44.498333333333,-84.591944444444,44.339517,-84.611271,seat,46583.5,1122298.0,10.61234034,66240.8,1603306.0,10.61234034
26145,MI,Saginaw County,Saginaw,43.4199247,-83.9500261,43.328267,-84.05541,seat,41117.2,977825.8,21.08349282,64103.7,1546911.3,21.08349282
26147,MI,St. Clair County,Port Huron,42.975,-82.424444444444,42.928803,-82.668913,seat,39924.4,935704.0,0.68912641,66318.0,1623514.5,0.68912641
26149,MI,St. Joseph County,Centreville,41.923333333333,-85.528333333333,41.911488,-85.52287,seat,39712.3,936078.3,9.042011849,54603.1,1305692.0,9.042011849
26151,MI,Sanilac County,Sandusky,43.420277777778,-82.829722222222,43.449155,-82.642815,seat,42850.8,979953.6,8.782955382,67302.8,1635216.1,8.782955382
26153,MI,Schoolcraft County,Manistique,45.957777777778,-86.249722222222,46.021122,-86.197029,seat,59087.5,1427589.0,6.972786561,65209.2,1503694.3,6.972786561
26155,MI,Shiawassee County,Corunna,42.981944444444,-84.117777777778,42.951545,-84.146352,seat,40437.9,956536.8,3.777136471,61415.9,1490302.4,3.777136471
26157,MI,Tuscola County,Caro,43.491111111111,-83.396944444444,43.487902,-83.436618,seat,42984.1,1006123.4,16.02981643,66304.8,1597070.0,16.02981643
26159,MI,Van Buren County,Paw Paw,42.217777777778,-85.891111111111,42.28215,-86.306076,seat,42468.2,992600.6,12.48690638,52974.4,1282833.5,12.48690638
26161,MI,Washtenaw County,Ann Arbor,42.281388888889,-83.748333333333,42.252217,-83.843423,seat,35773.4,838896.6,3.558342978,60311.8,1464340.5,3.558342978
26163,MI,Wayne County,Detroit,42.331666666667,-83.0475,42.284664,-83.261953,seat,35793.4,841205.0,1.666193976,62994.3,1530693.0,1.666193976
26165,MI,Wexford County,Cadillac,44.25,-85.4,44.331375,-85.570046,seat,48371.0,1147360.1,2.604000518,62020.6,1513649.3,2.604000518
27001,MN,Aitkin County,Aitkin,46.533055555556,-93.710277777778,46.602409,-93.419694,seat,83364.8,1980258.6,36.34983399,46716.0,1028788.2,36.34983399
27003,MN,Anoka County,Anoka,45.197777777778,-93.387222222222,45.27411,-93.242723,seat,76053.7,1812470.9,0.8646709507,40548.4,889387.8,0.8646709507
27005,MN,Becker County,Detroit Lakes,46.817222222222,-95.845277777778,46.937629,-95.741757,seat,88701.1,2104638.3,4.338214687,40591.1,985858.4,4.338214687
27007,MN,Beltrami County,Bemidji,47.473611111111,-94.880277777778,47.879508,-95.00505,seat,90530.1,2118625.0,8.560867832,47909.8,1126432.4,8.560867832
27009,MN,Benton County,Foley,45.664722222222,-93.909722222222,45.701225,-94.00144,seat,79650.2,1891465.5,10.31630734,41292.0,906345.3,10.31630734
